tweet,sentiment
been waiting for minutes on hold because yall Cancelled Flightled my return flight Answer the phone,negative
quick question lets say I book a flight I did so and you then drop the price Do I get the cheaper rate,neutral
Can someone contact me about my awful experience with american airlines this weekend,negative
On phone hold for mins trying to speak to an agent Cant change reservation online Sigh badcustomerexperience,negative
if youre going to charge for wifi do us all a solid and make sure it doesnt take the length of the flight to open a page,negative
involuntarily bumped your passenger and cant guarantee them another flight for three days,negative
called executive platinum desk and got a TWO HOUR call back time hrs Late Flightr still no call and still stuck in Chicago,negative
sitting on a plane in Philadelphia for over minutes waiting just to get off the plane Great service,positive
ok thanks Where are you counters located And how Late Flight are they open,neutral
awesome Thx,positive
forgot to call in the copilot so were stuck on the plane in PHL Looking fwd to being stranded in CLT Day of flight fails,negative
Whats with the pricing cache About to book a flight refreshed the page amp the price jumped from to Ridiculous,negative
plz plz plz hold to EYW The PHL gtCLT is sooo Late Flight Gonna miss the connection for s th GTH,negative
minutes means no public transit home and an expensive cab Promises doesnt make up for it,negative
understanding the situation we waited and it was opened until pm,negative
to my legal last name So its not technically a name change I just used the wrong name,neutral
whats UA lax newark,neutral
should use this in their next airline commercial lol,neutral
because according to the flight attendant my husband doesnt talk english when the fact is that he understand and talks it,negative
you friends flt from ase to Denver is Cancelled Flightled for tomorrow Can you help with rebook,neutral
can you help me with a reservation cant get through on the phone,negative
Can you explain how it rewards us elite Premiere K members,neutral
Our fleets on fleek wow,neutral
told no gates open at ORD needed to wait mins Still waiting after about mins,negative
of urgency but this is ridiculous Your ceo claims to be customer focused yet when delays happen planes sit and customers are,negative
Charlotte Staff needs prayerdisappointed in response to mishaps lotttttttt of pissed off people here,negative
WiFi on yesterdays flight extremely slow a waste of and lost the travel time for work,negative
told me I deserved to be delayed because I booked the last flight and then I hear the only inconvience is missing your flight,negative
What made you come to this Can we help you with anything JP the service just hasnt been great,negative
I bought a ticket with a price that was published by mistake and now I got an email that indicates United Cancelled Flightled my ticket Why,negative
What are the chances of my flight to EWR from PIT being Cancelled Flighted tomorrow,neutral
Fantastic support by the Twitter team I appreciate it Thanks again,positive
Stuck on plane for over an hour due to mechanical faults Any updates please This happened on way to Newark and now again to LHR,negative
hard to believe since your staff SFO checked them under someone by the name of ritacomo who flew to EWR the same day,negative
Wronganswer Talk is cheap Customer service is the action of making things right for the customer fail again,negative
can you DM me amp add me to the upgrade list for a flt tonight,neutral
second time flying into Houston and mins waiting for luggage at baggage Typical Still waiting,negative
cardholder is flying We both have us airways and advantage cards which is more frustrating,negative
Thank you for your help Shannon Great customer service,positive
was far less painful than what was coming from Avis,positive
out of Gainesville FL,neutral
on hold for minutes amp counting to Cancelled Flight reservation booked within hours can I do it here conf code FDK XZMSCW,negative
Thanks Only a minor delay so not a big deal Appreciate the concern though Boarding now You do have amazing service,positive
got it so its just paying extra not to sit in the way back Awesome Never again,negative
and a complete lack of faith in your companies Its really a shame that you think telling me its been a challenging,negative
no your service here pretty much ruined my day but thanks for the weak attempt,negative
now the weight restriction Well try to get as many of you as we can on this plane,negative
I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one,negative
oh and now your company has caused us to lose an entire day of our vacation in Cancun De Boarded waiting for another plane,negative
according to jfk plenty of planes are landing No problem there,negative
Its an incredibly easy fix but you would rather stay in your comfort zone while I get forced out of mine,negative
Please try it yourself call and see what happens then youll understand allrepresentativesbusy nooption,negative
Im in the finalstretch to chairman execplat mileagerun for k needed any suggestions letsgo,neutral
Thank you for the reply Wouldve appreciated communication before checking in about the delay JetBlue used to be my goto,negative
Lister to my show my on Monday,neutral
wheres my bag You called at noon promising it today would like an update like your website promises I need that bag,negative
HA Youre fun,positive
would it kill you to let me know how many minutes I might be on hold,negative
I guess it is more BS AirportCardio given you cannot have an on time flight,negative
is anything being done to make Flight Attendants aware of AA member benefits Embarrassing being argued with Just happened,negative
loving Capt Joe on our flight from BOS to SFO This should be fun,positive
just an FYI Ill be writing registered letters your ceo and those down the line the shameful treatment and reactions we got,negative
get ur act together start treating ur passengers w kinder have more sanitized planes Take a page from perhaps,negative
We apologize for your frustrations Michael Have you been rebooked got call back after hours Bad,negative
I DO like your airlines congrats,positive
checking into a flight on your website is about as easy as asking a bear to shit in a toilet justsaying,neutral
thx We have already been on the iberia website and seat reservation is unavailable Hopefully we can call them,negative
Would you guys please send service agents to gate B in Philly All the people missed there connections and theres only,negative
I just wanted Southwest to know that I dont think theyre as great as I used to anymore Nothing to look into,negative
if I had a ticket refunded which I purchased for my brother to flycould I then used the refunded credit for me to fly Respond,neutral
can you help me with a delayed flight as im going to miss my connection,negative
you guys are awesome Thanks,positive
Supposed to arrive at my destination tonight American rebooks me for Wednesday Where am I staying until then,negative
delayed hours trying to get to give us an update please,negative
why wouldnt you just credit it right to my account instead of having a separate sign on That seems pretty ridiculous,negative
the crew of has been great to us today Traveling from Ft Lauderdale to Louisville with kids and under Thanks,positive
and a half hours on hold Hope it feels good to be a steaming pile of shit paid far too much for you,negative
how does a pilot forget log book Been waiting on plane for mins AlsoNoDrinkCartComingAround,negative
how come you dont have an iPhone app Still using and making me waste paper,negative
that wasnt the issue Someone finally helped on the phone Now theres a website error that wont let me process my request SMH,negative
just sad that even after spending so much on tickets all I wanted was for my wife to still go with her sister and no help,negative
I mean Probably inappropriate while on board But its on,positive
doesnt want to deal with me but the world might want to know how they are treating their customers,negative
ugh always know a way to my heart,positive
was just at T a little over a month ago you guys are great thanks for everything,positive
the call hung up on me,negative
would love to do more for virgin just like I do for,positive
Unhappy with Uniteds service Read Ralph Naders open letter to UALs CEO Leave a comment or RT,negative
thanks making it impossibly expensive change a flight leaving less than hrs earlier than my reservation lesscustomer,negative
mechanical failure isnt Boston fault,negative
agents refuse to help too busy amp need to call advantage NO ONE willing to help and apparently being exec plat means ZERO,negative
screwed up our reservation they assigned a new to just one of us amp when they changed our flight only changed the original,negative
it was credit from my last trip that never came in the mail,negative
still no response from AA great job guys,negative
thnkx bt dont help now we will need to go WAY out of OUR way to get where we NEED to be for the u charge this sux neveragain,negative
Yes I needed plenty of assistance but received none,negative
I have no way of making phones calls Need to handle via Twitteremailweb Thank you,negative
yes when I got to the gate I specifically asked if there where any other seats Very discouraging to walk past the crew d,negative
Three months and my miles havent been credited No one is going to read the email I sent,negative
and now they sent our green tagged bags to the luggage carousel Its been one mess up after another Bad day,negative
thank you for doing the best you could to get me rebooked Agent on phone amp addtl resolution on DM was very much appreciated,positive
would really like my baggage from yesterday Employees at Akron giving me a tough time,negative
I rebooked myself but Cancelled Flighting flight because crew expired after boarding is unacceptable You started delaying at pm,negative
any help regarding flights out of KPHL would be much appreciated,neutral
We dont like to hear this Is there anything we can help with Thanks EY another empty offer for help,negative
its always a pleasure,positive
rudest crew member experience Throwing shade and calling out customers reachingnewlows,negative
cant checkin online for flight tmrw fr Cancun Undefined error amp not workingFamily of dont want Cgroup Help,negative
flying high thanks,positive
its not a consolation because my bags are somewhere else which is a real impediment to me going on a different vacation,negative
UA has been rolling out improvements too we think Hoping theyll catch up soon Meantime ANA is our preference,neutral
great I just called your fucking phone number and she hung up on me,negative
no problem Things worked out at airport Thanks,positive
that link is not helpful as it does not put me In touch with management,negative
Im resending the confirmation code in a DM,neutral
thanks for the DM rescheduling Unfortunately your operations process at LAX is chaos amp the reps refused to print the ticket,negative
You might be dealing with frustrated passenegers hope you all have a great day thank you very much for an amazing airline,positive
Worked like a charm Bag was waiting on the carousel when we got to baggage claim welldone goodflight friendlysky,positive
rocks horror,negative
you should partner w a different hotel in PHL the clarion is proving to be very difficult amp not customer friendly,negative
YES FYI MY BFF,neutral
u didnt bother following up we booked with understands cust srv provided lunch delays amp upgraded seats,negative
I will be traveling from LAX to CLT to HTS I have been rebooked for tomorrow due to the travel advisory,neutral
schedule is open through the end of October got Columbus day wknd in New England for K points for Check your calendar,neutral
Russ please contact Reservations at for reFlight Booking Problems options Good luck with that,negative
they did on a delta flight out of LAX which is why I should be compensated for my rental car there,negative
But jet blue had Cancelled Flighted my ticket amp never reissued it,negative
I was told by customer service that only customer relations can extend the expiration date of my unused travel funds,negative
It says on you web site that u fly directly from ORD to DUB when I try to book it says you do not Have you stopped,negative
Thank you for the quick response I am trying to request abassinet for my son it would be great if you can help me with my request,positive
its freezing on the gate bridgewaitingforbagsunitedEWR,negative
What are Preferred Seats,neutral
is the worst Still havent left Everyone missing connections,negative
I purchased Main Cabin XT for fAUS Flight was Cancelled Flightled and I was rescheduled on with regular seats Credit,negative
Why does your iPhone app not have any sort of notifications option,negative
so is the JJ standing for Just Joking I am not finding the humor,negative
when the pilot announces that the plane has been unused for days and maintenance is dealing with another aircraft,negative
still waiting to board and see if they will give us the exit row,negative
how is it that the airport DCA and the airline mess up our flights but also will not cover our hotel costs At DCA for hrs,negative
I understand why the pilot would get on the plane but why st class There were empty coach seats near me Im a Premier K,neutral
and how is this not a mechanical issue All evidence points to the idea that its the ILS at CLL at fault not the weather,negative
minute delay this is absurd Feel free to provide credits,negative
thank you so much for asking us to pay to switch to a different flight so I could spend more time with my dying nephew,negative
its poop and barely works,negative
Big thanks to Ms Winston for assisting me over the phone with a baggage claim issue today She really went the extra mile,positive
HELP It says the payment is denied but my money has been taken out of my bank And it says I have no trips coming up,negative
I love this airline so much Thanks so much The service is great The snacks are amazing Everything is outstanding thanks,positive
we are missing our connection due to delay out of LAS What are we supposed to do now,negative
thanks for update,positive
of delays and trapped on planes with no water or air Never ever ever again neveragain aafail,negative
hi You lost my fathers wheelchair Every time we call we just get voicemail My dad needs it to go home Please DM me,negative
Complete waste of an entire day Pathetic,negative
Southwest is currently awaiting government approval for this route Do we know when it will be official,neutral
or us air,neutral
Denver International Airport,positive
Thank you for the service credit And to for positive thoughts,positive
I have never been mor e disappointed in a company charging to use your wifi which only works for about apps parhetic,negative
a nice trip back home after a looong vaca,positive
its a wonderful thing,positive
obviously,neutral
UA EWRMCO Feb wifi never connected but allowed me to purchase access twice amp charged me Who do I need to file claim with,negative
not at all Rerouted to snowy BWI been trying to figure out how to get out of here Now dealing with more baggage troubles,negative
once again your service leaves a lot to be desired Flight here early but short staffing means we wait on TarmacThanks,negative
Thank you for responding so quickly with a helpful tool,positive
nd Late Flight flight today,negative
I cant tellpurchase through the website because they put us on a Lufthansa flight for the first leg,negative
you say to call travel agency and they say we cant refund because usairways didnt accept this,negative
I need to speak with a supervisor or someone who is willing to help me use a credit I have ASAP letsworktogether,negative
stranded in North Carolina and trying to figure out options but cant get anyone to talk to,negative
of course I work for and Im obsessed with the entire Virgin family,positive
well deserved,positive
my wife Sarah stocker did also called but could not connect me to customer service,negative
record loaaret got email we couldnt get rescheduled on another flight but dont know if flight is Cancelled Flightled,negative
Thanks so much Appreciate your kindness in adjusting our reservation Even during snowstorms I still prefer Southwest,positive
when will there be wifi on the DCASTL route hour flight could use some love,negative
does not fit in,negative
is yr site having trouble for mobile check in,neutral
sister amp BIL stuck in Detroit desperately need to be in Florida flying w is there anything you can do,neutral
Flying with you in April first time on southwest Cant wait Flew American airlines last time Was meh,positive
ManchesterBWI being delayed for one idiot who isnt on the plane Weve waited hours for our window and may miss it,negative
I feel completely cheated I read your commitment to customer service via website and def did not get service suggested there,negative
I waited in line all that time to be told by a crewmember that theres no update until HrDelay disappointed,negative
hrs since flight landed and ZERO info on my missing bag rough ETA would be hugely helpful restore some confidence,negative
still on hold hr minsthank god for chairman status status match,negative
seriously This is just complete bs,negative
thanks for following up it finally worked Fingers crossed the new flight works,positive
AND WE GOT ZERO VOUCHERS FOR HOTEL OR CAB I expect some SERIOUS mileage credits,neutral
nah you wouldnt,neutral
thats what I thought Thanks for the clarification,neutral
thats the one My original arrival time was am after all said and done I may be there by pm central Not impressed,negative
soooo are you guys going to leave the seatbelt light on all flight You can barely call this turbulence,negative
Will do I appreciate the response,positive
has some of the best airfare prices Gotta LUV them,positive
hook me up with a free trip to Barbados and I will tell you the secret beaches to see,neutral
tweet bots obviously dont get sarcasm making computers more and more like real people,negative
of unusable funds Will not book with you again usairwaysfailscustomers,negative
it wasnt a delay so much as a straight Cancelled Flightlation Weather wasnt an issue either,negative
how can you not be taking calls I need to change my flight,negative
working for me Tight cx so theyre delaying our flight Twice In secs,negative
you can thank supervisor Jeanine and her coworkers for the excellent customer service they provided,positive
Received email wresos to my email that isnt associated to SWA account I own with CC info for my sister FRAUD please DM me,negative
is main supporter of play where Jesus is portrayed as homosexual partner of Judas and who performs a gay wedding boycott,negative
are you expecting flights out of DFW to be Cancelled Flightled tomorrow AM and afternoon,neutral
Im glad retweeted otherwise you would have to ignore the numerous tweets I sent You all are fucking amazing,positive
I just think if I am staying w your airline amp rescheduling a flight I shouldnt absorb a fee that is the cost of my flight,negative
fail My wife on the phone asking to switch flight times In mid switch gets disconnected Now Cancelled Flightled No new time No call back,negative
checked me in through security under the wrong name and given the wrong boarding pass AirlineSecurity,negative
I bougth ticket same fligths twice and you dont refund money it is big problem other company refund money why dont u pay back,negative
were glad to hear it Out of curiosity what causes such flight patterns,neutral
its domestic I just wanted more of an idea so I dont get surprised,neutral
What are we going to do about the nightmare you guys out me through yesterday Zero response from the tweet you last sent me,negative
please help,neutral
I did hear a last call for boarding of this flight when I was at JFK a few hours ago good luck wflights,neutral
not a good day to fly u two delayed flights still on plane at Ewr waiting over hours for gate get to gate no gate agent,negative
I wasnt important this morning when you would not seat my wife and I together or allow me to choose seats at Flight Booking Problems,negative
took our carryon bag with essential attire for a life changing interview tomorrow amp its not here can we expect compensation,negative
LAUREN IM SCREAMING,positive
if you are giving tix to DestinationDragons show would appreciate one or two for LAFlying from PHL to LAX on Friday,neutral
just promoting the product is all had a problem with southwest and recommend noneother than the best,positive
I need to reschedule a flight and Ive been on hold for almost an hour This is ridiculous Is there a best number to call,negative
Never had a flight delayed an hour due to an unbalanced load And more delays at Great job idiots,negative
are my bags here yet They were at Palm Springs airport I was at LAX How come I beat my bags here,negative
nice work on the update,positive
or you could send me a DM,neutral
Landing As usual great flight wiyh a great crew Hello sunny West Palm Beach jetbluerocks,positive
Our fleets on fleek Plz stop,negative
why would a person take hours and hours of wait time just to tell a lie,negative
would it kill you to let me put my tsaprecheck number on my reservation,negative
I tried Had me running from curbside to selfcheck amp wasting even more time Ended up Flight Booking Problems United for am so upset,negative
waited for min then got disconnect,negative
how can I get tickets for Feb Imagine Dragons show,neutral
Dmed you Thank you,negative
Waiting half an hour for my checked bag at EWR amp that was Priority disappointing usually you guys are good,negative
appreciate it but changing time by min multiple times hours before flight is just annoying and seems like you have clue,negative
use the app you say,negative
app error says click here cant click not hyperlinked,negative
fattuesday Great job celebrating mardigras today at Atlanta Airport Another reason Im nuts for you,positive
no commitment to a good turnaround an operations mgr would have counted a dozen small issues with individual performance,negative
she has crossed prior times with other carriers and no issue Karen was rude untrained and unhelpful I also spoke,negative
I want to file a formal complaint against a disgruntled employee LaGuardia who ruined mltple peoples travel plans yesterday,negative
incredible PR team,positive
April th Anything specific I should know for my first flight,neutral
If you believe in keeping your customers happy especially after a mistake was made on your part,negative
Hi ho hi ho Its off to work I go WeeklyCommuteOnAA,neutral
no response to DM or email yet customer service,negative
wanted to connect to discuss sponsorship opportunities with silicon valleys only day film festival,neutral
excruciatingly slow internet on SWA flights is now the norm rather than the exception Is this being addressed,negative
Beautiful thanks a ton,positive
I cant work with them if the call gets cut off while Im still holding Is DFW looking any better tomorrow,negative
hours to be answered on a call,neutral
how is Mexico not international from the us,neutral
AATeam thanks for working in very rigorous weather conditions for all,positive
days for one flight and for the other roundtrip,negative
couldnt get anyone on the phone all day the flight you rebooked had me missing a conferenceWe wont be on flt tomorrow,negative
thanks for taking care of on her flight rockstars travel,positive
status of flight from MCO to LGA tomorrow,neutral
just need to know why it wasnt done like it was promised it would yesterday,negative
thanks for your help jetbluesofly,positive
Unbelievable that for consecutive days I cant get through to a person On hold over hours and still going,negative
after minutes on hold and another minutes on the call yes Going to be pushing it to get to the airport on time now,negative
sitting on plane in Columbus supposed to leave an hour ago Now the mechanic cant find a tool to service the shock absorber,negative
stuck here in IAH waiting on flight to Honolulu for hours due to maintenance issues Could we have gotten a new plane Fail,negative
She claimed that she did but I was not happy with the way I was treated,negative
wanting a for the finding the gate No apology or exp All good Im sure connecting flight leaving SAC will be chill,negative
better just keep connection from ORD To FWA that boards in ten minutes open until I get off the plane that just landed an hour Late Flight,negative
luggage and contents destroyed both on outbound trip last weekampinbound lastnight in philadelphia Careless,negative
already shared with them Nothing done,negative
How clueless is AA Been waiting to hear for weeks about a refund from a Cancelled Flightled flight amp been on hold now for hr min,negative
Good info but am already signed up for all options None of which sound like they applied to the missing emails,negative
Thanks,positive
thanks Ill do it,positive
my flight is Cancelled Flightled due to weather What next,negative
flying from Manchester international to Philadelphia and getting emails about delays no information about connecting flights,negative
hi friend Question for you when you have a moment,neutral
that is not what your employee at Logan told me I finally got one to meet my daughter on her first solo flight after rude rep,negative
HELLO Its been FOUR HOURS since plane landed Flt phx to JFK hrs on Tarmac waiting gate Plus an hour no bags yet,negative
thx Make it right Help Meagan Fouty Brancato fl dfw gate preboard wkids b group A please Please,positive
Thank you very much,positive
I am still in the airport waiting for my flight,negative
flight US from RICDFW was Cancelled Flightled yesterday amp I was on hold w cust service from pm EST hours no answer,negative
On hold for mins and then used the call back service only to have an agent call me and put me on hold foreveranyone there,negative
cost me a day of vacation hotel stay day of dog boarding and a day of airport parking,negative
Im sorry United isnt able to keep its word cuz their IT is totally inadequate but they still says its a customer fault,negative
Jet BOOOO RT Our fleets on fleek,negative
thanks for the miserable trip GNVltltltFSD on,negative
now down to only one agent helping a stagnant line of almost customers Super,negative
extremely disappointed with poor the customer service provided after Cancelled Flighting my flight today unprofessional,negative
On hold X min ea Trying to bk a tix to Asia Your website amp customer service dont want my business Korea Air it is,negative
SWA agent Jacquie Plitt SNA rudely tells me Youre not going CABO today or manana back PHX flew,negative
Everyone else was outstanding,negative
was the worst experience Ive ever had flying Rude delays Cancelled Flightlations lack of updates and wasting our time,negative
what do you know Finally lined up like cattle to board my SW flight after original departure time badcustomerservice,negative
for your loyal Alist customers it should be easier to get help and bring resolution to issues with your rewards program,negative
its ok Southwest is still the best airline around Just hate when baggage room runs out My now checked bag has headphones,positive
Thanks Will do,neutral
Hopefully you ll see bad ones as opportunity to get better and not dwell in it and the good ones as encouragement words,positive
appreciate the response but already spoke to a MCO and their response was There is nothing we can do idk if thats what you mean,negative
Can you follow back for a quick DM SWfollowed,neutral
do you miss me Dont worry well be together very soon,neutral
mco to lag two hour delay and sitting in Tarmac going on minutes with infants crying on plane Get us off this plane,negative
Received an invitation to participate in erewards Is this legit from JetBlue Just double checking bc the site looked different,neutral
after applying my new tag she left my bag on the ground rather than loading on the conveyer beltI had to walk back yards,negative
Understood Thanks anyway,positive
how can a plane that has been sitting in a hanger all day have numerous mechanical problems Doesnt anyone actually do maintenance,negative
If there are any Imagine Dragons tickets left for tomorrow at here in Utah I would love to go I am available,neutral
thats what they told me half an hour ago,negative
flight from DFW to LIT tomorrow has been Cancelled Flightled What do I do next Pls advise HELP,negative
Is flight really going to leave Newark today If not tell us now and I will rent a car I do not want to end up stranded,negative
I sent a message Its very irresponsible that my suitcase cannot be found This is truly worst service ever fedup disastrous,negative
honestly Im glad you didnt Cancelled Flight the flight just that Ill be driving home at am now,negative
are there any food places open at the JFK T,neutral
worst airline ever Staff is nasty wifi down bags are delayed due to weather And now the belt is broken Selling UAL stock in AM,negative
whats the deal with the flight computer network,negative
JT thanks for your help Ill complete the form once we are back home,positive
about flights all using same gate wbuses to the planes Awful boarding process Hour and a half Late Flight,negative
yes would love an upgrade or voucher please give me a call,neutral
Yeah that didnt happen,negative
So important to accept others for who they are SWADiversity,neutral
Im extremely disappointed w my service for this trip as a United MileagePlus Explorer Card holder,negative
pedophile airline Split myself and my yr old daughter rows apart on flight to boston,negative
you guys continue to impress me in Houston,positive
why must a traveler miss a flight to Late Flight check a bag I missed my morning appointments and you lost my business sfolax,negative
yeah theyre somewhere Hopefully getting them back today Just frustrated tweeting,negative
your service in Philly is unacceptable Look into better service a yr old shouldnt have a hard time,negative
have an employee at the gate min before boarding like u expect ur customers to Be a competent company like ur rivals,negative
whats the status of flight diverted to RIC When will it depart back for LGA,neutral
origindestinationdates are the same Going from US Airways connecting flight to AA direct flight Award is saver level,neutral
Trying to make an online Flight Booking Problems one way from Barbados NYC but wont let me as says I need a Barbados CCwhy,negative
Thanks I get that It looks like all BWISJD services stops after Aug Is that the case I cant find one date with flights,neutral
a companion pass flyer to other airlines because its being abused every airport,negative
if you want to fly in a storm thats your right But give us the choice We have kids and dont want to chance it nixchangefees,negative
Trying to change a flight booked just hours ago but online system is charging me fee per passenger could you please help,negative
tooooo many Cancelled Flightations My chain of command hates me now,negative
can u see whats holding up flt bags One bag came out nothing else for minutes,negative
need to add service dog to my itinerary for tomorrow,neutral
s computer systems are down cant leave without a flight plan Any ETA American air,negative
They told us minutes almost minutes ago,negative
once again my bag is lost when I travel united Please do something,negative
thanks for an awesome flight and connection We were delayed but your staff and crew were purely amazing,positive
Airways Receives New Coverage from Analysts at Bank of America JBLU The Legacy,neutral
DestinationDragons Im a HUGE FAN I would love tix to your show,positive
lack of communication with other offices the customer amp yall never update ur systems U guys are established this mess,negative
Im showing flight delayed again Would my boarding pass still be good or was my seat given away,negative
your planes made me miss connections in days Thanks for nothing,negative
still ignoring my question USAirways consistently providing poor customer service,negative
many people on Ua are going to miss connections due to long wait time in SFO tarmac Seriously u cant find an empty gate,negative
it was delivered Thank you for making sure it arrived at my doorstep,positive
My bags were supposed to be delivered to NYC last night missing since Thurs but are not here Can someone call me,negative
YOU ARE THE EASIEST AIRLINE TO DEAL WITH I LOVEEEE YOU SO MUCH,positive
Extremely disappointed in Flight United left crew and pssgrs stranded in rain gate with no cover Left Psngrs depart plane,negative
no response weeks since complaint submitted and days since you all said you would look into it,negative
Thx for the follow up Just sent DM,positive
Horrible experience ever with airlineHave to reconsider any future flights Customer service,negative
Why did you load us in this flying sardine can if you knew the pilots were hours Late Flight incompetent beyond belief,negative
Ive DMd you Thanks,positive
Thx for the quick response yep I tried but it cant find the flight when I Input the Confirmation,positive
didnt find them unfortunately but he was very helpful and took down my info incase they do get found,negative
sitting in Newark because flight was Cancelled Flightled for no apparent reason All I was told was sorry after hrs waiting,negative
its vegas baby who doesnt have a good time in vegas lol,neutral
Poor cabin luggage service on UA to BOS I was forced to check in even when there was empty space for bags in the overhead,negative
trying to check in for tomorrows flight website keeps timing out whats up,negative
After days NO BAGs amazing the way that you neglect customers,negative
thanks for the ride to Chicago kmdw b,positive
Are you an incompetent airline every day or just days that end in y,negative
JamesAsworth has the worst corporate account manager Brent I will now take my plus flights to thank you,negative
so disgusted and disappointed with united airlines luggage policies and attitude toward musicians Unacceptable,negative
Hey guys Your Flight Booking Problems system ran my first and middle names together at time of Flight Booking Problems Is that going to be a TSAnightmare,negative
CEO battles to appease passengers investors Toledo Blade,neutral
so great AA sitting for an hour first technical problems now what,negative
Is it customary to upgrade a flight attendant in uniform vs passengers One is in B on flt now to IAH,negative
Done but I need the receipt ASAP Could you please help,neutral
fuck you and your shitty fucking information,negative
will you please update your website with the most current flight status And update your customer service phone on thx,negative
Then you delete my return ticket to Europe and blame me for the now show This airline is a joke times this happened now times,negative
I was denied getting on the plane wo getting the chance to prove it fits Im not a rookie Read my bio,negative
what a great first night DestinationDragons,positive
Flight now Cancelled Flightled Have been rebooked on pm flight If on time take off Ill have spent extra hours at DCA,negative
flight to BOS Cancelled Flightled no flights till TUESDAY spent to get a flight through another airline for hotel Refund,negative
Thank you for the follow,positive
been calling for over hrs now and getting no where but told to call back by the automated system is extremely frustrating,negative
Flight from ORD couldnt let me know about this Found out via app minutes before landing Awful flight,negative
no I wasnt After over an hour was too frustrated and had to hang up,negative
minutes holding Seriously if your average wait time is over minutes then maybe just maybe youre understaffed,negative
Are the hours of operation for the Club at SFO that are posted online current,neutral
That is appreciated However the system tells you call back Late Flightr then ends the call No need to reply thanks,negative
where are our luggages With a group and over luggages are lost,negative
great Well deserved,positive
